element,subcategory,instance_id,name_ko,banking,slack,travel,workspace,any
E1,ENT-DI,ENT-DI.CHAT,Chat / 화면 입력,0,0,0,0,0
E1,ENT-DI,ENT-DI.CLI,CLI / Terminal 입력,0,0,0,0,0
E1,ENT-DI,ENT-DI.API,API 입력,0,0,0,0,0
E1,ENT-II,ENT-II.EMAIL,Email / 메일,0,0,0,1,1
E1,ENT-II,ENT-II.FILE,File / 문서,1,0,0,1,1
E1,ENT-II,ENT-II.WEB_URL,Web / URL,0,1,1,0,1
E1,ENT-II,ENT-II.MESSAGE_SNS,Message / SNS,0,1,0,0,1
E1,ENT-II,ENT-II.CALENDAR_EVENT,Calendar / Event,0,0,1,1,1
E1,ENT-II,ENT-II.RETRIEVED_CONTENT,검색 / 검색 콘텐츠,0,0,1,1,1
E1,ENT-II,ENT-II.WORK_ITEM,업무 항목 / 협업 콘텐츠,0,0,0,0,0
E1,ENT-II,ENT-II.APPLICATION_RECORD,애플리케이션 / 서비스 레코드,1,1,1,1,1
E2,INT-EC,INT-EC.TOOL_PLUGIN,Tool / Plugin,0,0,0,0,0
E2,INT-EC,INT-EC.SKILL_FUNCTION,Skill / Function,0,0,0,0,0
E2,INT-EC,INT-EC.MCP_REMOTE_TOOL,MCP / Remote Tool,0,0,0,0,0
E2,INT-EC,INT-EC.PACKAGE_LIBRARY,Package / Library,0,0,0,0,0
E2,INT-EC,INT-EC.EXTENSION_ADDON,Extension / Add-on,0,0,0,0,0
E2,INT-CR,INT-CR.SYSTEM_INSTRUCTION,System Instruction / Prompt,0,0,0,0,0
E2,INT-CR,INT-CR.POLICY_GUARDRAIL,Policy / Guardrail 설정,0,0,0,0,0
E2,INT-CR,INT-CR.CONFIGURATION,Configuration / Setting,0,0,0,0,0
E2,INT-CR,INT-CR.INSTRUCTION_FILE,Instruction File,0,0,0,0,0
E2,INT-CR,INT-CR.WORKFLOW_PROCEDURE,Workflow / Procedure 정의,0,0,0,0,0
E2,INT-MT,INT-MT.MODEL_CHECKPOINT,Model / Checkpoint,0,0,0,0,0
E2,INT-MT,INT-MT.CHAT_TEMPLATE,Model Chat Template,0,0,0,0,0
E2,INT-MT,INT-MT.EMBEDDING_INDEX,Embedding / Index,0,0,0,0,0
E2,INT-MT,INT-MT.ADAPTER_LORA,Adapter / LoRA,0,0,0,0,0
E3,CM-AM,CM-AM.GOAL_PLAN,목표 / 계획,1,1,1,1,1
E3,CM-AM,CM-AM.TOOL_SELECTION,Tool 선택,1,1,1,1,1
E3,CM-AM,CM-AM.TOOL_ARGUMENT,Tool 입력값,1,1,1,1,1
E3,CM-AM,CM-AM.ACTION_ORDER,작업 순서,1,1,1,1,1
E3,CM-GM,CM-GM.RESPONSE_CONTENT,생성 Response / Content,0,0,0,0,0
E3,CM-GM,CM-GM.CODE_SCRIPT,생성 Code / Script,0,0,0,0,0
E3,CM-GM,CM-GM.PROMPT_INSTRUCTION,생성 Prompt / Instruction,0,0,0,0,0
E3,CM-GM,CM-GM.FILE_DOCUMENT,생성 File / Document,0,0,0,0,0
E4,PA-GA,PA-GA.USER_AUTHORITY,사용자 위임 권한,0,0,0,0,0
E4,PA-GA,PA-GA.SERVICE_APP_AUTHORITY,Service / App 권한,0,0,0,0,0
E4,PA-GA,PA-GA.ADMIN_ELEVATED_AUTHORITY,관리자 / 상위 권한,0,0,0,0,0
E4,PA-CT,PA-CT.ACCESS_OAUTH_TOKEN,Access / OAuth Token,0,0,0,0,0
E4,PA-CT,PA-CT.API_SECRET_KEY,API / Secret Key,0,0,0,0,0
E4,PA-CT,PA-CT.PASSWORD_CREDENTIAL,Password / Credential,0,0,0,0,0
E4,PA-CT,PA-CT.SESSION_COOKIE,Session / Cookie,0,0,0,0,0
E4,PA-CT,PA-CT.CERT_PRIVATE_KEY,Certificate / Private Key,0,0,0,0,0
E4,PA-ACB,PA-ACB.AUTHENTICATION_CONTROL,인증 통제,0,0,0,0,0
E4,PA-ACB,PA-ACB.AUTHORIZATION_SCOPE_CONTROL,권한 / Scope 통제,0,0,0,0,0
E4,PA-ACB,PA-ACB.OBJECT_ACCESS_CONTROL,객체 단위 접근통제,0,0,0,0,0
E4,PA-ACB,PA-ACB.APPROVAL_GATE,승인 단계,0,0,0,0,0
E5,DEX-UBD,DEX-UBD.CUSTOMER_CRM,고객 / CRM 데이터,0,0,0,0,0
E5,DEX-UBD,DEX-UBD.COMMUNICATION_CONTENT,커뮤니케이션 내용,0,0,0,0,0
E5,DEX-UBD,DEX-UBD.WORK_DOCUMENT,업무 문서,0,0,0,0,0
E5,DEX-UBD,DEX-UBD.CALENDAR_SCHEDULE,Calendar / 일정 데이터,0,0,1,1,1
E5,DEX-UBD,DEX-UBD.CONTACT_PROFILE,Contact / Profile 데이터,1,1,0,0,1
E5,DEX-UBD,DEX-UBD.ACCOUNT_PAYMENT,Account / Payment 데이터,0,0,0,0,0
E5,DEX-UBD,DEX-UBD.TRANSACTION,거래 데이터,0,0,0,0,0
E5,DEX-UBD,DEX-UBD.ORDER_RESERVATION,주문 / 예약 데이터,0,0,0,0,0
E5,DEX-UBD,DEX-UBD.PROJECT_WORK_ITEM,Project / 업무항목 데이터,0,0,0,0,0
E5,DEX-CS,DEX-CS.TOKEN_SESSION,Token / Session Credential,0,0,0,0,0
E5,DEX-CS,DEX-CS.API_SECRET_KEY,API / Secret Key,0,0,0,0,0
E5,DEX-CS,DEX-CS.PASSWORD_CREDENTIAL,Password / Credential,0,0,0,0,0
E5,DEX-CS,DEX-CS.PRIVATE_KEY_CERT,Private Key / Certificate,0,0,0,0,0
E5,DEX-SRD,DEX-SRD.SYSTEM_CONFIG_FILE,System / Configuration File,0,0,0,0,0
E5,DEX-SRD,DEX-SRD.ENVIRONMENT_VARIABLE,환경변수,0,0,0,0,0
E5,DEX-SRD,DEX-SRD.MEMORY_PROCESS,Memory / Process 데이터,0,0,0,0,0
E5,DEX-SRD,DEX-SRD.LOG,Log,0,0,0,0,0
E5,DEX-SRD,DEX-SRD.CLIPBOARD,Clipboard,0,0,0,0,0
E5,DEX-SRD,DEX-SRD.SOURCE_REPOSITORY,Source Code / Repository,0,0,0,0,0
E5,DEX-SRD,DEX-SRD.BROWSER_LOCAL_SESSION,Browser / Local Session 데이터,0,0,0,0,0
E6,INV-AT,INV-AT.COMMUNICATION_TOOL,Communication Tool,0,1,1,1,1
E6,INV-AT,INV-AT.CRM_ERP,CRM / ERP Tool,1,0,0,0,1
E6,INV-AT,INV-AT.CONNECTOR_API,Connector / API,0,1,1,0,1
E6,INV-AT,INV-AT.MCP_REMOTE_TOOL,MCP / Remote Tool,0,1,0,0,1
E6,INV-AT,INV-AT.FILE_STORAGE,File / Storage Tool,0,0,0,1,1
E6,INV-AT,INV-AT.CALENDAR_SCHEDULING,Calendar / Scheduling Tool,0,0,1,1,1
E6,INV-AT,INV-AT.PAYMENT_FINANCIAL,Payment / Financial Tool,1,0,0,0,1
E6,INV-AT,INV-AT.RESERVATION_ORDER,Reservation / Order Tool,0,0,1,0,1
E6,INV-AT,INV-AT.SEARCH_RETRIEVAL,Search / Retrieval Tool,0,0,0,0,0
E6,INV-AT,INV-AT.DATABASE_TOOL,Database Tool,1,0,0,0,1
E6,INV-SCU,INV-SCU.COMPUTER_USE_GUI,Computer-Use / GUI,0,0,0,0,0
E6,INV-SCU,INV-SCU.BROWSER_CONTROL,Browser Control,0,0,0,0,0
E6,INV-SCU,INV-SCU.TERMINAL_CLI,Terminal / CLI,0,0,0,0,0
E6,INV-SCU,INV-SCU.FILE_SYSTEM,File System Tool,0,0,0,0,0
E6,INV-SCU,INV-SCU.CODE_IDE,Code / IDE Tool,0,0,0,0,0
E6,INV-SCU,INV-SCU.SSH_REMOTE_SHELL,SSH / Remote Shell,0,0,0,0,0
E6,INV-CAI,INV-CAI.ADMIN_MANAGEMENT,Admin / Management Interface,0,1,0,0,1
E6,INV-CAI,INV-CAI.CLOUD_CONSOLE,Cloud Console,0,0,0,0,0
E6,INV-CAI,INV-CAI.IDENTITY_MANAGEMENT,Identity Management,1,1,0,1,1
E6,INV-CAI,INV-CAI.DEPLOYMENT_INFRA,Deployment / Infrastructure Tool,0,0,0,0,0
E7,EXEC-SE,EXEC-SE.PYTHON,Python 실행,0,0,0,0,0
E7,EXEC-SE,EXEC-SE.JAVASCRIPT,JavaScript 실행,0,0,0,0,0
E7,EXEC-SE,EXEC-SE.SHELL_SCRIPT,Shell Script 실행,0,0,0,0,0
E7,EXEC-SE,EXEC-SE.POWERSHELL_SCRIPT,PowerShell Script 실행,0,0,0,0,0
E7,EXEC-SE,EXEC-SE.SQL_SCRIPT,SQL / Query Script 실행,0,0,0,0,0
E7,EXEC-SE,EXEC-SE.NOTEBOOK_CELL,Notebook / Code Cell 실행,0,0,0,0,0
E7,EXEC-SE,EXEC-SE.EXECUTABLE_BINARY,Executable / Binary 실행,0,0,0,0,0
E7,EXEC-SSE,EXEC-SSE.SHELL_OS_COMMAND,Shell / OS Command,0,0,0,0,0
E7,EXEC-SSE,EXEC-SSE.POWERSHELL_WINDOWS_COMMAND,PowerShell / Windows Command,0,0,0,0,0
E7,EXEC-SSE,EXEC-SSE.PACKAGE_MANAGEMENT,Package Management Command,0,0,0,0,0
E7,EXEC-SSE,EXEC-SSE.CONTAINER_ORCHESTRATION,Container / Orchestration Command,0,0,0,0,0
E8,SCP-SC,SCP-SC.FILE_SHARING,File / 공유 상태,0,0,0,1,1
E8,SCP-SC,SCP-SC.CONFIGURATION,Configuration 상태,1,0,0,0,1
E8,SCP-SC,SCP-SC.CALENDAR_SCHEDULE,Calendar / Schedule 상태,1,0,1,1,1
E8,SCP-SC,SCP-SC.DEVICE_SYSTEM,Device / System 상태,0,0,0,0,0
E8,SCP-SC,SCP-SC.PRIVILEGE_ROLE,Privilege / Role 상태,0,1,0,1,1
E8,SCP-SC,SCP-SC.USER_ACCOUNT,User / Account 상태,1,1,0,0,1
E8,SCP-SC,SCP-SC.COMMUNICATION,Communication 상태,0,1,1,1,1
E8,SCP-SC,SCP-SC.TRANSACTION_PAYMENT,Transaction / Payment 상태,1,0,0,0,1
E8,SCP-SC,SCP-SC.RESERVATION_ORDER,Reservation / Order 상태,1,0,1,1,1
E8,SCP-SC,SCP-SC.CHANNEL_MEMBERSHIP,Channel / Membership 상태,0,1,0,1,1
E8,SCP-SC,SCP-SC.WORKFLOW_TASK,Workflow / Task 상태,1,0,1,1,1
E8,SCP-CC,SCP-CC.CONVERSATION_SESSION_CONTEXT,Conversation / Session Context,0,0,0,0,0
E8,SCP-CC,SCP-CC.LONG_TERM_MEMORY,Long-term Memory,0,0,0,0,0
E8,SCP-CC,SCP-CC.RAG_KNOWLEDGE_BASE,RAG / Knowledge Base,0,0,0,0,0
E8,SCP-CC,SCP-CC.PERSISTENT_PROMPT_CONFIG,지속 Prompt / Configuration,0,0,0,0,0
E8,SCP-CC,SCP-CC.TRAINING_FINETUNING_DATA,Training / Fine-tuning Data,0,0,0,0,0
E9,ID-RG,ID-RG.TEXT_RESPONSE,Text / Response,0,0,0,0,0
E9,ID-RG,ID-RG.FILE_DOCUMENT,File / Document,0,0,0,1,1
E9,ID-RG,ID-RG.CODE_SCRIPT,Code / Script,0,0,0,0,0
E9,ID-RG,ID-RG.IMAGE_MEDIA,Image / Media,0,0,0,0,0
E9,ID-RG,ID-RG.STRUCTURED_DATA,Structured Data,0,0,0,0,0
E9,ID-RG,ID-RG.LOG_NOTIFICATION,Log / Notification,0,1,0,0,1
E9,ID-ER,ID-ER.EMAIL_EXTERNAL_MESSAGE,Email / 외부 Message,0,0,1,1,1
E9,ID-ER,ID-ER.EXTERNAL_API_HTTP,외부 API / HTTP Endpoint,0,1,0,0,1
E9,ID-ER,ID-ER.EXTERNAL_SERVICE_RECIPIENT,외부 Service / Recipient,0,0,1,1,1
E9,ID-ER,ID-ER.WEB_RENDERING_RESOURCE,Web Rendering / 외부 Resource,0,0,0,0,0
E9,ID-ER,ID-ER.EXTERNAL_STORAGE_UPLOAD,외부 Storage / File Upload,0,0,1,0,1
E9,ID-ER,ID-ER.FILE_SHARE_PUBLIC_LINK,File Share / Public Link,0,1,0,0,1
E10,HD-UI,HD-UI.LINK_NAVIGATION,Link 이동 / 클릭,0,0,0,0,0
E10,HD-UI,HD-UI.INFORMATION_ENTRY,정보 입력,0,0,0,0,0
E10,HD-UI,HD-UI.FILE_DOWNLOAD_OPEN,File 다운로드 / 열기,0,0,0,0,0
E10,HD-UI,HD-UI.INSTALL_RUN,설치 / 실행,0,0,0,0,0
E10,HD-UAD,HD-UAD.COMMAND_EXECUTION_APPROVAL,명령 / 실행 승인,0,0,0,0,0
E10,HD-UAD,HD-UAD.PRIVILEGE_PERMISSION_APPROVAL,권한 / Permission 승인,0,0,0,0,0
E10,HD-UAD,HD-UAD.AUTH_MFA_APPROVAL,인증 / MFA 승인,0,0,0,0,0
E10,HD-UAD,HD-UAD.OAUTH_APP_APPROVAL,OAuth / App 연결 승인,0,0,0,0,0
E10,HD-UAD,HD-UAD.PAYMENT_TRANSFER_APPROVAL,결제 / 송금 승인,0,0,0,0,0
E10,HD-UAD,HD-UAD.FILE_SHARE_PUBLICATION_APPROVAL,File 공유 / 공개 승인,0,0,0,0,0
E10,HD-UAD,HD-UAD.SECURITY_WARNING_OVERRIDE,보안 경고 무시 / 진행,0,0,0,0,0
E10,HD-UAD,HD-UAD.ADVICE_DECISION_TRUST,조언 / 의사결정 신뢰,0,0,0,0,0
